Usernames	|	Passwords

vidbarbaro	-	HSolGCP5nf
teammanager1	-	lj17H5Q3qA
teammanager2	-	WuiBpSdS4s
teammanager3	-	vSsvdw6Guz
teammanager4	-	y0JGdOKPYF
teammanager5	-	sPaHff8h3O
teammanager6	-	M3FsCLYebr
teammanager7	-	YM8s2hd6zM
teammanager8	-	4wseyqpyoZ
referee1	-	Xc71A9WAaL
referee2	-	zqWnXZlBFx
player1		-	PBX9qqYyy6
player2		-	t6BS6M3QUa
player3		-	oUgJC2Kekq
player4		-	meptUazPc8
player5		-	oehKfG2Xck
player6		-	JnqBM5ZSQ0
player7		-	hgc0excDpi
player8		-	LL3YwaHG0U
player9		-	c4xGjS3mvA
player10	-	nczLuWJsmO
player11	-	pB9okIzsYZ
player12	-	eYGKwPCjAZ
player13	-	ZPgdlX1Yv6
player14	-	yJ6NtzCF7R
